FlowID,Packets,TotalBytes,AvgSize,StdDevSize,BPS,IAT_ms,Duration_s,SYN,ACK,FIN,PSH,RST,URG
149.171.126.9:80-59.166.0.3:57057,32,12364,386.38,531.87,10923.92,36,1.1318,4,30,4,10,0,0
149.171.126.10:5405-175.45.176.3:41657,28,16348,583.86,694.88,3551.10,170,4.6036,4,26,4,0,0,0
149.171.126.8:25-59.166.0.3:27208,94,42226,449.21,618.16,2097873.61,0,0.0201,4,92,4,36,0,0
149.171.126.1:39545-59.166.0.4:11298,54,7920,146.67,136.86,24046.27,6,0.3294,4,52,4,24,0,0
149.171.126.6:53-59.166.0.2:56785,4,356,89.00,8.00,374736.84,0,0.0009,0,0,0,0,0,0
149.171.126.3:64397-59.166.0.0:22597,170,86138,506.69,596.56,1346411.15,0,0.0640,4,168,4,82,0,0
149.171.126.5:143-59.166.0.5:29485,248,27004,108.89,146.14,21066.67,5,1.2818,4,246,4,118,0,0
149.171.126.2:111-59.166.0.5:22474,8,1016,127.00,31.00,220438.27,0,0.0046,0,0,0,0,0,0
149.171.126.4:111-59.166.0.3:54887,8,1000,125.00,33.00,226603.22,0,0.0044,0,0,0,0,0,0
149.171.126.4:15099-59.166.0.4:16512,122,50272,412.07,550.73,2038770.38,0,0.0247,4,120,4,58,0,0
149.171.126.6:4724-59.166.0.3:6660,8,968,121.00,35.93,3693.60,37,0.2621,0,0,0,0,0,0
149.171.126.5:80-59.166.0.1:29486,32,12364,386.38,531.87,12267.00,32,1.0079,4,30,4,10,0,0
149.171.126.5:80-59.166.0.7:22645,18,2152,119.56,101.59,165742.45,0,0.0130,4,16,4,4,0,0
149.171.126.5:1605-59.166.0.8:59460,94,33480,356.17,526.47,2094856.71,0,0.0160,4,92,4,44,0,0
149.171.126.4:80-59.166.0.9:63512,32,12364,386.38,531.87,10320.89,38,1.1980,4,30,4,10,0,0
149.171.126.5:53-59.166.0.8:3637,4,388,97.00,8.00,360594.80,0,0.0011,0,0,0,0,0,0
149.171.126.5:53-59.166.0.7:59456,4,356,89.00,8.00,345295.83,0,0.0010,0,0,0,0,0,0
149.171.126.5:52178-59.166.0.7:32685,88,32628,370.77,532.47,1018797.23,0,0.0320,4,86,4,42,0,0
149.171.126.3:6881-59.166.0.7:22496,34,3728,109.65,88.55,281719.94,0,0.0132,4,32,4,12,0,0
149.171.126.0:56959-59.166.0.6:50620,14,2398,171.29,249.74,5243.51,35,0.4573,4,12,4,2,0,0
149.171.126.1:49502-59.166.0.2:24967,20,9568,478.40,628.42,38775.46,12,0.2468,4,18,4,4,0,0
149.171.126.0:1150-59.166.0.8:65519,146,67812,464.47,579.43,321386.93,1,0.2110,4,144,4,70,0,0
149.171.126.8:45158-59.166.0.4:8492,36,7368,204.67,223.74,1548224.42,0,0.0048,4,34,4,24,0,0
149.171.126.17:15464-175.45.176.1:59941,6,366,61.00,1.00,77.22,947,4.7396,6,0,0,0,0,0
149.171.126.9:80-59.166.0.1:56548,30,12228,407.60,542.71,12167.09,34,1.0050,4,28,4,10,0,0
149.171.126.7:80-59.166.0.3:3527,1116,1125468,1008.48,685.88,503178.32,2,2.2367,4,1114,4,372,0,0
149.171.126.7:143-59.166.0.3:63095,248,27150,109.48,147.39,34681.90,3,0.7828,4,246,4,118,0,0
149.171.126.16:2003-175.45.176.0:15031,4,361,90.25,29.77,4196.21,28,0.0860,0,0,0,0,0,0
149.171.126.14:520-175.45.176.2:56596,2,136,68.00,0.00,27200000.00,0,0.0000,0,0,0,0,0,0
149.171.126.5:53-59.166.0.5:34203,4,388,97.00,8.00,370229.01,0,0.0010,0,0,0,0,0,0
149.171.126.8:43247-59.166.0.4:6695,36,7288,202.44,215.11,1538851.35,0,0.0047,4,34,4,24,0,0
149.171.126.9:57403-59.166.0.5:26819,134,63272,472.18,584.37,374381.67,1,0.1690,4,132,4,64,0,0
149.171.126.11:179-175.45.176.2:44833,18,1176,65.33,13.01,796.83,86,1.4758,4,16,4,0,0,0
149.171.126.6:62778-59.166.0.0:20857,94,33554,356.96,526.17,1777224.58,0,0.0189,4,92,4,44,0,0
149.171.126.1:64811-59.166.0.3:15719,74,20046,270.89,442.44,2154557.18,0,0.0093,4,72,4,34,0,0
149.171.126.5:53-59.166.0.9:21374,4,388,97.00,8.00,364319.25,0,0.0011,0,0,0,0,0,0
149.171.126.0:25-59.166.0.2:60358,90,41874,465.27,625.17,95198.47,4,0.4399,4,88,4,36,0,0
149.171.126.10:80-175.45.176.3:48082,20,2484,124.20,142.22,2121.23,61,1.1710,4,18,4,2,0,0
149.171.126.5:36771-59.166.0.0:62599,46,8048,174.96,205.80,33761.50,5,0.2384,4,44,4,24,0,0
149.171.126.3:49502-59.166.0.6:55692,20,9568,478.40,628.42,9545.63,52,1.0023,4,18,4,4,0,0
149.171.126.5:53-59.166.0.8:13800,4,388,97.00,8.00,374517.37,0,0.0010,0,0,0,0,0,0
149.171.126.16:8080-175.45.176.1:24996,22,5050,229.55,296.80,2107.16,114,2.3966,4,20,4,0,0,0
149.171.126.0:53-59.166.0.9:64216,4,388,97.00,8.00,380019.59,0,0.0010,0,0,0,0,0,0
149.171.126.5:25-59.166.0.5:52577,94,42184,448.77,617.52,2042017.62,0,0.0207,4,92,4,36,0,0
149.171.126.14:8009-175.45.176.2:39911,8,472,59.00,3.00,87.96,766,5.3663,4,6,2,0,0,0
149.171.126.3:26866-59.166.0.6:24897,22,9704,441.09,610.68,16802.12,27,0.5775,4,20,4,4,0,0
149.171.126.6:80-59.166.0.3:16884,18,2156,119.78,102.15,546930.49,0,0.0039,4,16,4,4,0,0
149.171.126.0:58328-59.166.0.8:32370,86,29706,345.42,515.31,1414302.04,0,0.0210,4,84,4,40,0,0
149.171.126.9:111-59.166.0.5:12637,8,1016,127.00,31.00,218871.18,0,0.0046,0,0,0,0,0,0
149.171.126.3:5190-59.166.0.7:25982,44,4780,108.64,94.77,1277733.23,0,0.0037,4,42,4,18,0,0
149.171.126.5:1804-59.166.0.1:22559,94,33480,356.17,526.47,1401540.52,0,0.0239,4,92,4,44,0,0
149.171.126.8:45993-59.166.0.8:37968,94,33554,356.96,526.17,1695674.15,0,0.0198,4,92,4,44,0,0
149.171.126.0:53-59.166.0.9:25674,4,360,90.00,8.00,345821.33,0,0.0010,0,0,0,0,0,0
149.171.126.5:16398-59.166.0.4:20629,22,9704,441.09,610.68,71295.28,6,0.1361,4,20,4,4,0,0
149.171.126.2:53-59.166.0.2:9094,4,356,89.00,8.00,357788.94,0,0.0010,0,0,0,0,0,0
149.171.126.7:6881-59.166.0.9:22147,170,124232,730.78,697.87,1391362.78,0,0.0893,4,168,4,62,0,0
149.171.126.0:6520-59.166.0.5:4448,122,50272,412.07,550.73,2226197.86,0,0.0226,4,120,4,58,0,0
149.171.126.7:38171-59.166.0.7:11709,54,8096,149.93,151.24,25554.26,5,0.3168,4,52,4,24,0,0
149.171.126.8:27520-59.166.0.8:57324,158,79424,502.68,595.48,794120.88,0,0.1000,4,156,4,76,0,0
149.171.126.3:2364-59.166.0.8:3853,56,8648,154.43,184.11,24620.85,6,0.3512,4,54,4,24,0,0
149.171.126.0:53-59.166.0.9:48047,4,356,89.00,8.00,372774.87,0,0.0010,0,0,0,0,0,0
149.171.126.5:16103-59.166.0.5:64155,158,79424,502.68,595.48,778972.15,0,0.1020,4,156,4,76,0,0
149.171.126.17:22799-175.45.176.1:55942,10,610,61.00,1.00,44.07,1538,13.8424,10,0,0,0,0,0
149.171.126.2:61433-59.166.0.3:26401,134,63272,472.18,584.37,1093838.60,0,0.0578,4,132,4,64,0,0
149.171.126.2:54656-59.166.0.0:1731,122,50272,412.07,550.73,2297938.47,0,0.0219,4,120,4,58,0,0
149.171.126.5:80-59.166.0.5:30686,30,12228,407.60,542.71,11312.72,37,1.0809,4,28,4,10,0,0
149.171.126.0:53-59.166.0.2:43599,4,388,97.00,8.00,375968.99,0,0.0010,0,0,0,0,0,0
149.171.126.8:53-59.166.0.0:6202,4,388,97.00,8.00,403746.10,0,0.0010,0,0,0,0,0,0
149.171.126.1:80-59.166.0.2:48840,30,12228,407.60,542.71,9893.50,42,1.2360,4,28,4,10,0,0
149.171.126.4:18013-59.166.0.7:59422,122,50272,412.07,550.73,2220887.08,0,0.0226,4,120,4,58,0,0
149.171.126.2:1370-59.166.0.2:42270,74,20046,270.89,442.44,2223380.66,0,0.0090,4,72,4,34,0,0
149.171.126.2:53-59.166.0.6:2103,4,388,97.00,8.00,348920.86,0,0.0011,0,0,0,0,0,0
149.171.126.0:53-59.166.0.1:3659,4,356,89.00,8.00,365503.08,0,0.0010,0,0,0,0,0,0
149.171.126.4:80-59.166.0.9:6890,30,12228,407.60,542.71,12155.66,34,1.0060,4,28,4,10,0,0
149.171.126.2:6881-59.166.0.4:46642,34,3728,109.65,88.55,6123.75,18,0.6088,4,32,4,12,0,0
149.171.126.6:53-59.166.0.4:15199,4,388,97.00,8.00,331340.73,0,0.0012,0,0,0,0,0,0
149.171.126.6:53-59.166.0.5:25243,4,388,97.00,8.00,362616.82,0,0.0011,0,0,0,0,0,0
149.171.126.4:53-59.166.0.8:23262,4,388,97.00,8.00,378906.25,0,0.0010,0,0,0,0,0,0
149.171.126.7:21-59.166.0.9:28041,106,8372,78.98,16.17,9851.64,8,0.8498,4,104,4,48,0,0
149.171.126.3:8987-59.166.0.1:38569,94,34828,370.51,529.18,262136.65,1,0.1329,4,92,4,44,0,0
149.171.126.7:143-59.166.0.4:19437,248,27004,108.89,145.85,34232.93,3,0.7888,4,246,4,118,0,0
149.171.126.7:53-59.166.0.6:59042,4,388,97.00,8.00,383778.44,0,0.0010,0,0,0,0,0,0
149.171.126.5:111-59.166.0.2:54834,8,1000,125.00,33.00,4436.60,32,0.2254,0,0,0,0,0,0
149.171.126.5:64355-59.166.0.3:19521,36,7024,195.11,186.97,1340202.25,0,0.0052,4,34,4,24,0,0
149.171.126.4:31502-59.166.0.2:42689,90,32764,364.04,528.41,1807070.76,0,0.0181,4,88,4,42,0,0
149.171.126.2:42017-59.166.0.7:45918,158,79424,502.68,595.48,454264.16,1,0.1748,4,156,4,76,0,0
149.171.126.10:80-175.45.176.3:46725,38,4560,120.00,124.16,6.16,19991,739.6827,8,34,8,4,0,0
149.171.126.1:22-59.166.0.1:15991,220,25218,114.63,121.59,4916.81,23,5.1289,4,218,4,110,0,0
149.171.126.10:80-175.45.176.3:46451,22,2610,118.64,137.58,1110.74,111,2.3498,4,20,4,2,0,0
149.171.126.1:53-59.166.0.8:21103,4,388,97.00,8.00,375605.03,0,0.0010,0,0,0,0,0,0
149.171.126.7:53-59.166.0.7:17460,4,388,97.00,8.00,382266.01,0,0.0010,0,0,0,0,0,0
149.171.126.9:20875-59.166.0.9:58355,74,20046,270.89,442.44,1717884.99,0,0.0117,4,72,4,34,0,0
149.171.126.8:10394-59.166.0.9:40932,20,9568,478.40,628.42,42649.36,11,0.2243,4,18,4,4,0,0
149.171.126.15:1723-175.45.176.1:61813,16,3040,190.00,340.94,6111.14,33,0.4975,4,14,4,0,0,0
149.171.126.1:42993-59.166.0.1:9022,94,34828,370.51,529.18,982703.65,0,0.0354,4,92,4,44,0,0
149.171.126.7:53-59.166.0.7:56559,4,388,97.00,8.00,384539.15,0,0.0010,0,0,0,0,0,0
149.171.126.0:80-59.166.0.7:57610,18,2156,119.78,102.15,513945.17,0,0.0042,4,16,4,4,0,0
149.171.126.14:80-175.45.176.0:36596,18,2768,153.78,202.23,10359.44,15,0.2672,4,16,4,2,0,0
149.171.126.8:45028-59.166.0.6:39791,94,33480,356.17,526.47,955179.60,0,0.0351,4,92,4,44,0,0
149.171.126.2:52260-59.166.0.4:53517,170,86138,506.69,596.56,1460907.02,0,0.0590,4,168,4,82,0,0
149.171.126.3:53-59.166.0.9:35681,4,356,89.00,8.00,375923.97,0,0.0009,0,0,0,0,0,0
149.171.126.2:111-59.166.0.0:63237,8,1000,125.00,33.00,225580.87,0,0.0044,0,0,0,0,0,0
149.171.126.4:80-59.166.0.5:43388,18,2156,119.78,102.15,561458.33,0,0.0038,4,16,4,4,0,0
149.171.126.7:80-59.166.0.5:15973,18,2156,119.78,102.15,544444.44,0,0.0040,4,16,4,4,0,0
149.171.126.1:25-59.166.0.5:51504,94,42226,449.21,618.16,1707066.62,0,0.0247,4,92,4,36,0,0
149.171.126.1:7688-59.166.0.5:45001,36,6696,186.00,153.14,1088072.80,0,0.0062,4,34,4,24,0,0
149.171.126.1:53-59.166.0.5:52157,4,388,97.00,8.00,340649.69,0,0.0011,0,0,0,0,0,0
149.171.126.7:31907-59.166.0.5:31328,122,52724,432.16,557.14,972570.14,0,0.0542,4,120,4,58,0,0
149.171.126.2:25-59.166.0.2:15830,94,42226,449.21,618.16,1700193.27,0,0.0248,4,92,4,36,0,0
149.171.126.3:53-59.166.0.0:7965,4,388,97.00,8.00,361602.98,0,0.0011,0,0,0,0,0,0
149.171.126.7:29332-59.166.0.8:30155,122,52724,432.16,557.14,2309923.33,0,0.0228,4,120,4,58,0,0
