StartTime,EndTime,TotalPackets,TotalBytes,PPS,BPS,UniqueSrcIPs,UniqueDstIPs,UniqueSrcPorts,UniqueDstPorts,ActiveFlows,CntSYN,CntACK,CntFIN,CntRST,CntPSH,CntURG
2015-02-18 14:53:50.000,14:54:00.000,12460,7114962,1246.00,711496.20,30,29,207,205,152,376,12074,360,0,4880,0
2015-02-18 14:54:00.000,14:54:10.000,27800,17483722,2780.00,1748372.20,34,33,345,343,245,628,27194,656,0,10604,0
2015-02-18 14:54:10.000,14:54:20.000,25934,15385445,2593.40,1538544.50,33,35,343,342,251,632,25268,698,0,9812,0
2015-02-18 14:54:20.000,14:54:30.000,24844,14183283,2484.40,1418328.30,34,33,359,357,241,676,24126,636,0,9510,0
2015-02-18 14:54:30.000,14:54:40.000,29926,19402000,2992.60,1940200.00,37,36,347,345,259,688,29220,636,0,11042,0
2015-02-18 14:54:40.000,14:54:50.000,29944,20245105,2994.40,2024510.50,34,33,354,351,250,608,29276,628,0,11156,0
2015-02-18 14:54:50.000,14:55:00.000,29242,18653029,2924.20,1865302.90,34,33,356,354,252,652,28574,708,0,10824,0
2015-02-18 14:55:00.000,14:55:10.000,17528,8078569,1752.80,807856.90,34,33,344,340,235,640,16856,644,0,6920,0
2015-02-18 14:55:10.000,14:55:20.000,22426,12222338,2242.60,1222233.80,33,34,359,341,257,652,21706,648,0,8556,0
2015-02-18 14:55:20.000,14:55:30.000,17530,8272285,1753.00,827228.50,34,34,347,326,242,600,16870,616,0,6870,0
2015-02-18 14:55:30.000,14:55:40.000,23476,13845800,2347.60,1384580.00,35,35,372,354,263,652,22716,628,0,8810,0
2015-02-18 14:55:40.000,14:55:50.000,25280,15061536,2528.00,1506153.60,32,32,356,338,248,620,24588,624,0,9660,0
2015-02-18 14:55:50.000,14:56:00.000,15420,6525664,1542.00,652566.40,33,34,348,332,250,612,14734,628,0,5958,0
2015-02-18 14:56:00.000,14:56:10.000,18864,10398342,1886.40,1039834.20,34,34,344,329,244,616,18172,620,0,6974,0
2015-02-18 14:56:10.000,14:56:20.000,23082,14652762,2308.20,1465276.20,34,33,342,340,234,624,22372,588,0,8634,0
2015-02-18 14:56:20.000,14:56:30.000,23331,13764610,2333.10,1376461.00,33,33,336,332,249,648,22646,648,0,8792,0
2015-02-18 14:56:30.000,14:56:40.000,22574,14082692,2257.40,1408269.20,35,34,345,343,240,616,21868,588,0,8418,0
2015-02-18 14:56:40.000,14:56:50.000,30914,20369217,3091.40,2036921.70,31,30,366,364,256,656,30202,656,0,11692,0
2015-02-18 14:56:50.000,14:57:00.000,23026,13340168,2302.60,1334016.80,33,32,360,355,259,684,22380,720,0,8854,0
2015-02-18 14:57:00.000,14:57:10.000,17348,8286063,1734.80,828606.30,34,33,347,344,245,648,16630,660,0,6412,0
2015-02-18 14:57:10.000,14:57:20.000,30108,19498377,3010.80,1949837.70,34,34,361,358,259,712,29404,696,0,11056,0
2015-02-18 14:57:20.000,14:57:30.000,26658,16551201,2665.80,1655120.10,33,33,344,341,238,608,25942,604,0,9918,0
2015-02-18 14:57:30.000,14:57:40.000,26412,16730410,2641.20,1673041.00,34,34,346,345,258,668,25638,680,0,9656,0
2015-02-18 14:57:40.000,14:57:50.000,17014,8335045,1701.40,833504.50,33,32,341,339,241,630,16294,644,0,6806,0
2015-02-18 14:57:50.000,14:58:00.000,18636,9727151,1863.60,972715.10,35,34,337,333,232,594,17898,592,0,7606,0
2015-02-18 14:58:00.000,14:58:10.000,24530,13625139,2453.00,1362513.90,34,33,353,350,256,674,23730,644,0,9366,0
2015-02-18 14:58:10.000,14:58:20.000,27260,15840075,2726.00,1584007.50,33,33,348,343,265,682,26522,680,0,10948,0
2015-02-18 14:58:20.000,14:58:30.000,24036,12214602,2403.60,1221460.20,32,31,366,364,270,680,23202,716,0,9830,0
2015-02-18 14:58:30.000,14:58:40.000,18330,7980983,1833.00,798098.30,33,32,339,336,246,650,17598,656,0,7642,0
2015-02-18 14:58:40.000,14:58:50.000,21726,11081984,2172.60,1108198.40,34,35,341,338,242,650,21002,636,0,8952,0
